,area_name,education_category,tot_emp,pct_total ,h_mean,a_mean
92,Hawaii,Postsecondary nondegree award,32410,5.25,31.47,65460
93,Hawaii,"Some college, no degree",15720,2.55,21.32,44350
94,Hawaii,High school diploma or equivalent,220000,35.66,27.34,56860
95,Hawaii,No formal educational credential,179560,29.1,20.56,42760
96,Idaho,Doctoral or professional degree,16710,2.03,65.11,135430
97,Idaho,Master's degree,14300,1.74,38.99,81100
98,Idaho,Bachelor's degree,183690,22.33,41.6,86530
99,Idaho,Associate's degree,18330,2.23,29.44,61230
100,Idaho,Postsecondary nondegree award,55840,6.79,23.6,49080
101,Idaho,"Some college, no degree",23580,2.87,20.09,41790
102,Idaho,High school diploma or equivalent,317290,38.57,22.61,47030
103,Idaho,No formal educational credential,192960,23.45,16.65,34640
104,Illinois,Doctoral or professional degree,152540,2.54,71.28,148260
105,Illinois,Master's degree,108850,1.81,44.68,92920
106,Illinois,Bachelor's degree,1565480,26.04,50.66,105380
107,Illinois,Associate's degree,121790,2.03,31.58,65680
108,Illinois,Postsecondary nondegree award,359600,5.98,26.21,54520
109,Illinois,"Some college, no degree",153440,2.55,22.66,47130
110,Illinois,High school diploma or equivalent,2242400,37.3,25.7,53460
111,Illinois,No formal educational credential,1307560,21.75,18.79,39090
112,Indiana,Doctoral or professional degree,71730,2.27,76.87,159900
113,Indiana,Master's degree,52780,1.67,40.84,84940
114,Indiana,Bachelor's degree,608570,19.28,41.86,87060
115,Indiana,Associate's degree,64300,2.04,29.94,62280
116,Indiana,Postsecondary nondegree award,215480,6.83,24.47,50910
117,Indiana,"Some college, no degree",72520,2.3,20.14,41880
118,Indiana,High school diploma or equivalent,1318110,41.76,23.77,49450
119,Indiana,No formal educational credential,753260,23.86,16.57,34470
120,Iowa,Doctoral or professional degree,33380,2.16,65.38,135990
121,Iowa,Master's degree,28920,1.87,40.96,85190
122,Iowa,Bachelor's degree,347380,22.49,40.48,84200
123,Iowa,Associate's degree,34670,2.24,27.69,57600
124,Iowa,Postsecondary nondegree award,109830,7.11,23.89,49690
125,Iowa,"Some college, no degree",47540,3.08,19.29,40120
126,Iowa,High school diploma or equivalent,586530,37.97,23.92,49760
127,Iowa,No formal educational credential,356510,23.08,16.63,34580
128,Kansas,Doctoral or professional degree,31370,2.22,64.01,133140
129,Kansas,Master's degree,24380,1.73,39.65,82480
130,Kansas,Bachelor's degree,319430,22.62,41.45,86220
131,Kansas,Associate's degree,27050,1.92,30.43,63290
132,Kansas,Postsecondary nondegree award,99810,7.07,23.22,48290
133,Kansas,"Some college, no degree",49240,3.49,19.07,39670
134,Kansas,High school diploma or equivalent,550450,38.98,23.36,48580
135,Kansas,No formal educational credential,310260,21.97,16.26,33820
136,Kentucky,Doctoral or professional degree,43300,2.21,69.26,144050
137,Kentucky,Master's degree,35200,1.79,38.6,80300
138,Kentucky,Bachelor's degree,392780,20.01,40.8,84870
139,Kentucky,Associate's degree,41140,2.1,27.8,57820
140,Kentucky,Postsecondary nondegree award,134460,6.85,23.77,49450
141,Kentucky,"Some college, no degree",46560,2.37,20.01,41620
142,Kentucky,High school diploma or equivalent,824790,42.02,22.14,46060
143,Kentucky,No formal educational credential,444830,22.66,15.9,33070
144,Louisiana,Doctoral or professional degree,40330,2.18,67.05,139460
145,Louisiana,Master's degree,36880,1.99,40.35,83930
146,Louisiana,Bachelor's degree,354760,19.16,41.6,86530
147,Louisiana,Associate's degree,37450,2.02,29.67,61710
148,Louisiana,Postsecondary nondegree award,140850,7.61,23.48,48830
149,Louisiana,"Some college, no degree",41900,2.26,19.12,39770
150,Louisiana,High school diploma or equivalent,731220,39.49,22.25,46280
151,Louisiana,No formal educational credential,468470,25.3,15.23,31680
152,Maine,Doctoral or professional degree,14820,2.38,71.57,148870
153,Maine,Master's degree,13690,2.2,42.99,89420
154,Maine,Bachelor's degree,139520,22.44,43.27,90010
155,Maine,Associate's degree,13120,2.11,31.5,65530
