area_name,tot_emp_STEM,STEM_percentage,state_avg_hr_earn,state_avg_yr_earn,year
Alabama,114200,5.922898589810748,23.127390501579267,48111.39317777513,2021
Alaska,19330,6.533053940786806,30.52015851020684,63477.40705691496,2021
Arizona,188040,6.527625421775414,26.523385311801384,55173.823680519876,2021
Arkansas,47020,3.9479097572648425,22.354567551909724,46504.01104944543,2021
California,1309560,7.922414111232978,32.93343371157926,68506.70622348352,2021
Colorado,242380,9.246415955198486,30.234211510143666,62891.15994109883,2021
Connecticut,109580,6.96387150074672,31.793526039846206,66126.38486225414,2021
Delaware,31210,7.164830119375575,28.760152662993573,59824.28764921947,2021
District of Columbia,76040,11.486925389368098,47.294780730244575,98366.38986661028,2021
Florida,434920,5.053906633107202,24.97908999002977,51950.45084491298,2021
Georgia,262590,5.99735521636751,25.93422925569211,53941.61302110574,2021
Guam,2260,3.8705257749614663,19.09511046412057,39716.216817948276,2021
Hawaii,28010,5.107492569427983,28.73101639284477,59753.833445779615,2021
Idaho,44160,5.834247136383454,23.046816530366886,47940.061698220394,2021
Illinois,319900,5.6933459575286,28.672874401121938,59642.28766079831,2021
Indiana,146350,4.905476972581618,24.250083294228062,50434.918884494204,2021
Iowa,82550,5.559034862657158,24.593405792709614,51147.41759092776,2021
Kansas,76500,5.712493559443535,23.88426264029212,49677.357691704565,2021
Kentucky,79320,4.3146214099216715,23.15447845953003,48166.84921671018,2021
Louisiana,64200,3.579373442387141,22.947822101794706,47735.39749443859,2021
Maine,29820,5.037162162162162,25.58962060810811,53234.72432432432,2021
Maryland,258230,10.14261642818707,31.68118515783644,65905.08002780844,2021
Massachusetts,310450,9.14578460196909,35.068595387778906,72939.98574147288,2021
Michigan,293880,7.239012037924265,26.5195372776605,55164.0402298709,2021
Minnesota,197520,7.221753008149701,29.072133071548443,60474.03678882076,2021
Mississippi,36840,3.3438926759310523,20.527331874994328,42697.131186972976,2021
Missouri,151620,5.557714160038122,24.71314797844654,51392.4366408856,2021
Montana,26850,5.7099717159687815,23.722078769963634,49336.689279714185,2021
Nebraska,57400,5.990023584413416,25.05702272869576,52110.11875691357,2021
Nevada,49740,3.8582664949813057,24.560314773732138,51078.08622535255,2021
New Hampshire,46060,7.251031138818047,28.49897169484588,59273.38622839331,2021
New Jersey,276770,7.188420401951056,32.267041311925034,67117.1321898489,2021
New Mexico,53280,6.861204831689288,24.932383135446983,51863.75692172973,2021
New York,481860,5.558394518430509,33.87501394039715,70459.51803254105,2021
North Carolina,300820,6.802773393155165,25.53008009914021,53104.650951375166,2021
North Dakota,16780,4.247456082620362,25.668152685668,53379.62942337873,2021
Ohio,304580,5.856147724585322,25.5605483529224,53174.839618306374,2021
Oklahoma,79710,5.116798582625609,23.252514298919635,48360.24553700387,2021
Oregon,136860,7.497658009061177,28.400281367613143,59069.77549757036,2021
Pennsylvania,349380,6.257466315387908,26.680724163190593,55482.80733458585,2021
Puerto Rico,34760,4.1194107678268805,14.65492634597836,30480.634858558205,2021
Rhode Island,28820,6.2964257624748745,29.865100498121123,62122.20309359434,2021
South Carolina,99820,4.8284502232348006,22.8339494904055,47497.42866402558,2021
South Dakota,20330,4.826341903473162,22.50277401894452,46804.91204330176,2021
Tennessee,151010,5.055844973282801,23.71151598344739,49330.78028953677,2021
Texas,811790,6.6397735349663884,26.075317339771978,54230.15060317336,2021
Utah,117790,7.576527494580844,25.67164742356899,53397.850926563195,2021
Vermont,16540,5.824148737631607,26.65779816190711,55445.4861086658,2021
Virgin Islands,880,2.6458208057727,23.068021647624775,47977.47444377631,2021
Virginia,349310,9.306916975511758,29.97021440199508,62336.5671435004,2021
Washington,326530,10.18518807335157,33.043797057328135,68740.46454538933,2021
West Virginia,27280,4.147913879090135,22.352142075173337,46494.888699671574,2021
Wisconsin,168090,6.101536183064235,25.53695841561157,53119.575879893135,2021
Wyoming,11570,4.440947299735155,25.055364065558674,52102.91713046482,2021
Alabama,120260,6.0009980039920165,24.335030339321357,50619.87894211577,2022
Alaska,20050,6.55014701078079,31.787587389741915,66124.43155831427,2022
Arizona,205590,6.781522750212758,28.179544995744852,58623.01957369327,2022
Arkansas,48750,3.960709759188847,23.350148922686945,48570.59885931559,2022
California,1369890,7.767648152852373,35.196339783078095,73213.18283109849,2022
Colorado,256040,9.25531645706891,32.629424886405126,67875.62631714027,2022
Connecticut,111320,6.823127041820154,33.31805873086895,69307.33443251956,2022
Delaware,32870,7.2160874624047775,29.93195956180984,62258.24087286778,2022
District of Columbia,76610,11.102094051155714,49.071181653503366,102055.61278168249,2022
Florida,493440,5.357148673252364,26.912501131814906,55978.03806806523,2022
Georgia,285610,6.192355224074757,27.88851050452052,57997.86416755198,2022
Guam,2420,4.069278627879603,20.04890196737851,41692.392803094,2022
Hawaii,29180,4.90519096288327,29.523136430876814,61415.625672404516,2022
Idaho,45620,5.720950063956258,24.68450553033533,51352.239221489304,2022
Illinois,338940,5.76044541734082,30.73151303892643,63925.19320453031,2022
Indiana,148590,4.809298170660659,25.724297005476366,53500.63395735426,2022
Iowa,82920,5.453540987056718,25.72964511206987,53514.00373566242,2022
Kansas,81460,5.9011025629880764,25.411081989539415,52849.50029701106,2022
Kentucky,83260,4.38353568006402,24.75509218797713,51490.15668270699,2022
Louisiana,67260,3.639827045982174,24.48773579596188,50939.3410322043,2022
Maine,31300,5.1260215194641425,26.90502890552071,55957.721295098345,2022
Maryland,261600,9.907889952733003,33.537156708277784,69752.47121561023,2022
Massachusetts,329040,9.22714526079641,36.82441211441391,76604.91284352215,2022
